"","age","workclass","fnlwgt","education","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","salary"
"10399",43,"Private",397963,"HS-grad",9,"Divorced","Handlers-cleaners","Not-in-family","White","Male",594,0,16,"United-States","<=50K"
"10400",46,"Private",182533,"Bachelors",13,"Never-married","Adm-clerical","Unmarried","Asian-Pac-Islander","Female",0,0,40,"Philippines","<=50K"
"10403",22,"Private",110200,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10407",31,"Private",103435,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
"10408",22,"Private",34747,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,35,"United-States","<=50K"
"10409",39,"Private",137522,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","Asian-Pac-Islander","Male",0,0,40,"?",">50K"
"10410",39,"Private",286789,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"10412",67,"?",192916,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",3818,0,11,"United-States","<=50K"
"10413",31,"Private",219318,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,35,"Puerto-Rico","<=50K"
"10414",50,"Private",112873,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
"10415",34,"Private",36069,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",3908,0,46,"United-States","<=50K"
"10416",48,"Private",73434,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"Germany",">50K"
"10417",51,"Private",200576,"Bachelors",13,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10418",54,"Private",172962,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
"10421",37,"Private",212826,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States","<=50K"
"10424",59,"Self-emp-not-inc",41258,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"10426",60,"?",230165,"Bachelors",13,"Married-civ-spouse","?","Husband","Black","Male",0,0,40,"United-States","<=50K"
"10430",28,"Self-emp-inc",204247,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"10431",34,"Private",143392,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
"10432",50,"Self-emp-not-inc",37913,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"Italy",">50K"
"10433",22,"Self-emp-inc",150683,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,24,"United-States","<=50K"
"10434",27,"Private",207611,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,52,"United-States","<=50K"
"10436",39,"Private",155961,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,38,"United-States","<=50K"
"10437",25,"Local-gov",117833,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
"10438",63,"?",447079,"HS-grad",9,"Never-married","?","Not-in-family","White","Male",0,0,15,"United-States","<=50K"
"10439",24,"Self-emp-inc",142404,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"10440",18,"Private",155752,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,30,"United-States","<=50K"
"10441",19,"?",252292,"HS-grad",9,"Never-married","?","Own-child","White","Male",0,0,40,"United-States","<=50K"
"10445",63,"Self-emp-inc",80572,"Bachelors",13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States",">50K"
"10446",28,"Local-gov",180271,"Bachelors",13,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,65,"United-States",">50K"
"10447",51,"Federal-gov",237819,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"10448",29,"Private",157612,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",3325,0,45,"United-States","<=50K"
"10453",31,"Local-gov",213307,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
"10454",48,"Self-emp-not-inc",209057,"Bachelors",13,"Married-spouse-absent","Sales","Own-child","White","Male",0,0,50,"United-States",">50K"
"10460",49,"Private",181363,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",">50K"
"10461",58,"?",210031,"HS-grad",9,"Divorced","?","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"10462",36,"Private",206951,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,45,"United-States",">50K"
"10463",25,"Private",485496,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
"10467",50,"State-gov",242517,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10469",44,"Self-emp-not-inc",277783,"Masters",14,"Never-married","Farming-fishing","Own-child","White","Male",0,0,99,"United-States","<=50K"
"10470",48,"Private",155862,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,65,"United-States","<=50K"
"10472",18,"Private",243900,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,15,"United-States","<=50K"
"10474",31,"Private",356882,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"United-States","<=50K"
"10475",38,"Private",49020,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10480",39,"Private",204501,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"10481",56,"Local-gov",305767,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,40,"China","<=50K"
"10482",31,"Private",129761,"HS-grad",9,"Never-married","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"10483",42,"Self-emp-inc",130126,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United-States",">50K"
"10484",53,"Private",102828,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,35,"United-States",">50K"
"10488",27,"Private",285897,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1848,45,"United-States",">50K"
"10489",31,"Private",356689,"Bachelors",13,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10490",52,"Federal-gov",192386,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",5013,0,40,"United-States","<=50K"
"10491",46,"Private",394860,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
"10493",26,"Private",55929,"Bachelors",13,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10494",48,"Local-gov",177018,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"10497",49,"Private",165468,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,55,"United-States",">50K"
"10498",24,"Private",49218,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10499",74,"Self-emp-not-inc",119129,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,2149,20,"United-States","<=50K"
"10501",39,"Federal-gov",129573,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
"10502",21,"Private",306850,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
"10503",29,"Private",135296,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,2258,45,"United-States",">50K"
"10504",43,"Self-emp-not-inc",187322,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Male",0,0,45,"United-States","<=50K"
"10505",23,"Private",55674,"Bachelors",13,"Never-married","Protective-serv","Not-in-family","White","Female",2907,0,40,"United-States","<=50K"
"10506",26,"Private",148298,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"10507",47,"Private",34845,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,60,"United-States","<=50K"
"10508",27,"Private",200733,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,55,"United-States","<=50K"
"10509",45,"Private",191858,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,45,"United-States",">50K"
"10510",30,"Private",425528,"HS-grad",9,"Never-married","Protective-serv","Own-child","White","Male",0,0,70,"United-States","<=50K"
"10512",33,"Private",125856,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10513",37,"Private",100508,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"10514",21,"Private",148294,"HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,20,"United-States","<=50K"
"10515",42,"Private",39324,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
"10516",48,"Federal-gov",147397,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,36,"United-States","<=50K"
"10517",46,"Private",24728,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Female",0,0,48,"United-States","<=50K"
"10519",54,"Private",163826,"HS-grad",9,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10520",25,"Private",199947,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K"
"10521",26,"Local-gov",386949,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,25,"United-States","<=50K"
"10522",36,"Self-emp-inc",116133,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,57,"United-States","<=50K"
"10523",56,"Self-emp-not-inc",196307,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
"10524",37,"Private",177181,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10525",26,"Private",324854,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",">50K"
"10526",23,"Private",188505,"Bachelors",13,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K"
"10527",23,"State-gov",502316,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10528",41,"State-gov",26892,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10529",55,"Private",102058,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"10530",39,"Private",167728,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"10532",60,"Private",26756,"HS-grad",9,"Widowed","Sales","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"10533",54,"Private",101890,"HS-grad",9,"Widowed","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"10534",38,"Private",192337,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"England",">50K"
"10536",49,"State-gov",102308,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,42,"United-States",">50K"
"10537",19,"Private",84747,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,24,"United-States","<=50K"
"10539",66,"Private",185336,"HS-grad",9,"Widowed","Sales","Other-relative","White","Female",0,0,35,"United-States","<=50K"
"10541",51,"Self-emp-not-inc",125417,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,42,"United-States",">50K"
"10544",33,"Private",193042,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,60,"United-States",">50K"
"10545",41,"Private",53956,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,1980,56,"United-States","<=50K"
"10546",90,"Private",175491,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",9386,0,50,"Ecuador",">50K"
"10548",36,"Private",144154,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10551",46,"Private",139268,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",">50K"
"10552",38,"Private",33887,"HS-grad",9,"Never-married","Machine-op-inspct","Other-relative","White","Male",0,0,40,"United-States","<=50K"
"10553",24,"Private",283613,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"10554",40,"Private",141245,"Bachelors",13,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"Puerto-Rico","<=50K"
"10556",19,"Private",186096,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,30,"United-States","<=50K"
"10558",46,"Private",102308,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,56,"United-States",">50K"
"10561",21,"Private",109952,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10563",36,"Private",247750,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,45,"United-States","<=50K"
"10565",38,"Federal-gov",248919,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2051,40,"United-States","<=50K"
"10566",29,"Self-emp-not-inc",178551,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10568",47,"Federal-gov",55377,"Bachelors",13,"Never-married","Adm-clerical","Unmarried","Black","Male",0,0,40,"United-States",">50K"
"10569",39,"Local-gov",177728,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10570",40,"Local-gov",243580,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,48,"United-States","<=50K"
"10572",32,"Private",63910,"HS-grad",9,"Divorced","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K"
"10573",23,"Private",219535,"HS-grad",9,"Never-married","Exec-managerial","Own-child","White","Male",0,0,40,"United-States","<=50K"
"10574",44,"State-gov",180609,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
"10576",70,"Private",170428,"Bachelors",13,"Widowed","Prof-specialty","Unmarried","White","Female",0,0,20,"Puerto-Rico","<=50K"
"10577",51,"Private",102615,"Masters",14,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1977,40,"United-States",">50K"
"10581",48,"Self-emp-inc",148995,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,0,60,"United-States",">50K"
"10582",24,"?",203076,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States","<=50K"
"10583",51,"Private",63424,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States",">50K"
"10584",43,"Private",241895,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"10585",27,"Private",266973,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
"10586",32,"Private",188048,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
"10592",26,"Private",104746,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",5013,0,60,"United-States","<=50K"
"10593",39,"Private",103710,"HS-grad",9,"Never-married","Sales","Unmarried","White","Female",0,0,60,"United-States","<=50K"
"10594",24,"Private",159580,"Bachelors",13,"Never-married","Other-service","Own-child","Black","Female",0,0,75,"United-States","<=50K"
"10597",49,"State-gov",31650,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Other-relative","White","Female",0,0,45,"United-States","<=50K"
"10598",35,"State-gov",80771,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10599",30,"Private",66278,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10601",33,"Private",206609,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States","<=50K"
"10602",35,"Private",282461,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States","<=50K"
"10603",31,"Private",188246,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"10605",44,"Private",467799,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10606",33,"Self-emp-not-inc",137674,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States","<=50K"
"10608",25,"Private",204219,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"Mexico","<=50K"
"10609",28,"State-gov",210498,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
"10610",60,"Federal-gov",63526,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,40,"United-States",">50K"
"10613",57,"Federal-gov",199114,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,2258,40,"United-States","<=50K"
"10614",50,"Private",168539,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"10616",69,"Local-gov",61958,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",1424,0,6,"United-States","<=50K"
"10618",42,"Private",204450,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"United-States","<=50K"
"10619",53,"Private",311350,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"10620",37,"Private",113750,"Bachelors",13,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
"10622",38,"Private",132879,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,50,"United-States",">50K"
"10628",37,"Self-emp-not-inc",241463,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1848,65,"United-States",">50K"
"10629",47,"Private",216999,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States","<=50K"
"10630",33,"Local-gov",120508,"Bachelors",13,"Divorced","Protective-serv","Unmarried","White","Female",0,0,60,"Germany","<=50K"
"10631",33,"Private",122612,"HS-grad",9,"Married-spouse-absent","Other-service","Not-in-family","Asian-Pac-Islander","Female",0,0,35,"Thailand","<=50K"
"10633",41,"State-gov",197558,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10635",54,"Self-emp-not-inc",121761,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,50,"?","<=50K"
"10636",36,"Federal-gov",184556,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","<=50K"
"10637",46,"Private",268281,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10638",45,"Private",235646,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"10641",33,"Private",188861,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"10642",42,"Private",363591,"HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"10646",20,"Private",347530,"HS-grad",9,"Never-married","Other-service","Unmarried","Black","Female",0,0,25,"United-States","<=50K"
"10647",50,"Private",72351,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
"10648",42,"Local-gov",185129,"Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,43,"?",">50K"
"10649",36,"Private",188571,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10650",22,"Private",255252,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
"10651",30,"Private",291951,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States","<=50K"
"10652",33,"Self-emp-not-inc",223046,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10655",34,"Local-gov",183801,"Bachelors",13,"Never-married","Other-service","Not-in-family","White","Male",0,0,14,"United-States","<=50K"
"10657",40,"Private",143069,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"10660",65,"Local-gov",146454,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1648,4,"Greece","<=50K"
"10663",18,"Private",376647,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",2176,0,25,"United-States","<=50K"
"10666",24,"Private",194654,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
"10668",40,"Private",226902,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,50,"United-States",">50K"
"10669",44,"State-gov",150755,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",5013,0,40,"United-States","<=50K"
"10670",24,"Private",200679,"HS-grad",9,"Never-married","Farming-fishing","Own-child","Black","Male",0,0,50,"United-States","<=50K"
"10674",71,"?",35303,"Bachelors",13,"Married-civ-spouse","?","Husband","White","Male",9386,0,30,"United-States",">50K"
"10675",37,"Private",188576,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"?","<=50K"
"10676",33,"Private",169496,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
"10677",41,"Private",58124,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
"10678",25,"Private",356344,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
"10679",42,"Self-emp-not-inc",444134,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,15,"United-States","<=50K"
"10681",34,"Private",219619,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10683",27,"Local-gov",331046,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
"10684",46,"?",443179,"Bachelors",13,"Divorced","?","Not-in-family","White","Female",0,0,8,"United-States","<=50K"
"10686",24,"Private",100345,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Male",0,0,20,"United-States","<=50K"
"10687",23,"Private",205653,"Bachelors",13,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States","<=50K"
"10691",44,"Private",190532,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,55,"United-States","<=50K"
"10692",53,"Federal-gov",266598,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"10693",38,"Local-gov",116608,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States",">50K"
"10694",36,"Private",353263,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States",">50K"
"10695",25,"State-gov",157617,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"10696",54,"Federal-gov",21698,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"10698",18,"State-gov",342852,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
"10699",40,"Private",176602,"HS-grad",9,"Divorced","Other-service","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
"10701",68,"?",146645,"Doctorate",16,"Married-civ-spouse","?","Husband","White","Male",20051,0,50,"United-States",">50K"
"10702",33,"Private",221966,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",2202,0,50,"United-States","<=50K"
"10705",24,"?",247734,"Bachelors",13,"Never-married","?","Own-child","White","Male",0,0,30,"United-States","<=50K"
"10706",44,"Private",252202,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10707",37,"Private",497300,"HS-grad",9,"Never-married","Other-service","Unmarried","Black","Male",0,0,40,"United-States","<=50K"
"10708",34,"Self-emp-not-inc",426431,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"10710",77,"?",143516,"Masters",14,"Married-civ-spouse","?","Husband","White","Male",0,0,8,"United-States",">50K"
"10713",46,"Federal-gov",110884,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","Amer-Indian-Eskimo","Male",0,0,40,"United-States","<=50K"
"10716",70,"?",97831,"HS-grad",9,"Widowed","?","Unmarried","White","Female",0,0,4,"United-States","<=50K"
"10717",57,"Private",180920,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",">50K"
"10721",32,"Private",207301,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"10722",29,"Private",293073,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,50,"United-States",">50K"
"10723",36,"Private",210452,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Male",0,0,45,"United-States","<=50K"
"10724",19,"Private",41400,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States","<=50K"
"10725",27,"Private",164170,"Bachelors",13,"Never-married","Tech-support","Unmarried","Asian-Pac-Islander","Female",0,0,20,"Philippines","<=50K"
"10726",48,"Private",112906,"Masters",14,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,55,"United-States",">50K"
"10727",49,"Self-emp-not-inc",126268,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
"10728",55,"Private",208311,"Masters",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,20,"United-States",">50K"
"10729",61,"Private",28291,"HS-grad",9,"Divorced","Farming-fishing","Not-in-family","White","Female",0,0,82,"United-States","<=50K"
"10733",32,"Self-emp-not-inc",134727,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"10740",33,"Private",80058,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,48,"United-States","<=50K"
"10741",56,"Local-gov",370045,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
